iter	RMSE
0	175579.173
1	165945.2075
2	157360.4261
3	149960.3381
4	143609.068
5	137647.8303
6	132371.0469
7	127588.9112
8	123771.0678
9	120203.651
10	117176.9847
11	114437.6458
12	111430.7663
13	109289.8401
14	107331.004
15	105535.889
16	104145.8171
17	102484.0183
18	101059.9991
19	100153.7829
20	99134.66736
21	98147.49822
22	97251.69891
23	96508.00593
24	95779.62827
25	95158.87211
26	94542.9985
27	94038.81796
28	93361.87083
29	92948.56888
30	92480.38964
31	91812.0143
32	91452.02392
33	91006.48962
34	90587.03781
35	90212.70525
36	89719.61497
37	89494.1052
38	89292.92519
39	89032.55865
40	88823.99055
41	88552.14121
42	88171.07271
43	87842.83167
44	87568.73741
45	87373.28327
46	87104.04511
47	86942.64648
48	86619.47118
49	86488.08288
50	86329.9507
51	86137.13331
52	85971.81406
53	85861.12686
54	85696.25006
55	85500.53858
56	85342.41718
57	85188.26772
58	84910.61073
59	84737.04223
60	84562.82003
61	84374.40723
62	84228.73338
63	84025.78571
64	83953.1818
65	83805.84215
66	83653.32686
67	83478.57941
68	83342.00769
69	83193.0709
70	83007.50958
71	82848.79094
72	82687.34785
73	82593.86769
74	82473.68976
75	82391.45451
76	82223.84628
77	82067.28871
78	81968.67782
79	81830.43079
80	81716.35142
81	81542.30633
82	81419.32881
83	81352.94792
84	81181.35156
85	81090.99859
86	81011.39684
87	80887.36752
88	80847.52982
89	80742.80754
90	80667.61289
91	80594.20349
92	80538.57251
93	80416.67605
94	80283.79834
95	80225.88553
96	80046.10232
97	79948.84356
98	79845.40544
99	79766.92662
100	79690.24905
101	79635.60748
102	79517.78933
103	79441.74874
104	79276.09728
105	79145.29473
106	79079.48512
107	79006.55824
108	78925.94629
109	78847.37726
110	78761.17257
111	78570.49572
112	78375.52047
113	78303.82959
114	78202.41579
115	78141.79172
116	78062.06719
117	77971.8866
118	77846.1699
119	77783.24951
120	77683.64012
121	77590.72387
122	77471.19649
123	77403.59322
124	77346.04964
125	77216.75645
126	77141.52479
127	77019.739
128	76948.18375
129	76900.64763
130	76844.74904
131	76763.58779
132	76709.15711
133	76540.66897
134	76459.18783
135	76348.50053
136	76287.31651
137	76190.27309
138	76125.14962
139	76078.72712
140	75972.69226
141	75870.9098
142	75784.38632
143	75686.93961
144	75520.95988
145	75447.23615
146	75276.83316
147	75230.12718
148	75186.04475
149	75116.75576
150	75061.26972
151	74996.42658
152	74917.12982
153	74792.6227
154	74736.52637
155	74681.89105
156	74593.95381
157	74533.63185
158	74471.51622
159	74413.08621
160	74275.8251
161	74197.86085
162	74138.37815
163	74059.94733
164	73999.50116
165	73893.68415
166	73826.82275
167	73791.82426
168	73707.12711
169	73645.8888
170	73562.01677
171	73503.11572
172	73421.79844
173	73375.27797
174	73304.49916
175	73244.42954
176	73137.26689
177	73104.05834
178	73025.6698
179	72947.24725
180	72884.8154
181	72840.40407
182	72746.17415
183	72629.47112
184	72595.81996
185	72539.90219
186	72459.69532
187	72391.35505
188	72325.69263
189	72279.24533
190	72221.6575
191	72138.84768
192	72086.20783
193	72030.50853
194	71954.73175
195	71905.56626
196	71852.31754
197	71789.85151
198	71728.81072
199	71700.2463
200	71641.96832
201	71584.6883
202	71538.21118
203	71494.05562
204	71462.88126
205	71370.18222
206	71310.09395
207	71249.18165
208	71205.64096
209	71158.22066
210	71096.11054
211	71055.32711
212	71027.53433
213	70980.7668
214	70937.67114
215	70888.80664
216	70851.26876
217	70792.52016
218	70744.73739
219	70690.70387
220	70581.1751
221	70526.11968
222	70467.57278
223	70384.12902
224	70326.61928
225	70246.21053
226	70201.49386
227	70155.37998
228	70116.18115
229	70061.3991
230	69999.24235
231	69960.60929
232	69919.11974
233	69873.85451
234	69819.0908
235	69769.46054
236	69727.21644
237	69655.71647
238	69605.38486
239	69567.18857
240	69497.35384
241	69465.29685
242	69413.9414
243	69364.77842
244	69297.29938
245	69257.17371
246	69206.03284
247	69130.20824
248	69096.35077
249	69062.0567
250	69000.43941
251	68966.80811
252	68934.14403
253	68889.15434
254	68844.1004
255	68796.86959
256	68757.98749
257	68723.82252
258	68679.83542
259	68633.05267
260	68590.86811
261	68562.60296
262	68490.67705
263	68404.08565
264	68365.8291
265	68337.7022
266	68296.66026
267	68260.10768
268	68175.46185
269	68147.22153
270	68099.02761
271	68042.59674
272	67988.10024
273	67935.89248
274	67890.37626
275	67850.98887
276	67785.2369
277	67740.56974
278	67684.81627
279	67640.7433
280	67602.78525
281	67566.63692
282	67539.55403
283	67496.16781
284	67446.17513
285	67421.30827
286	67371.51934
287	67294.41265
288	67247.70755
289	67196.80762
290	67147.36717
291	67086.95407
292	67049.33984
293	67021.31044
294	66985.22776
295	66941.04731
296	66890.97234
297	66859.83562
298	66809.5534
299	66771.55504
300	66734.91208
301	66708.928
302	66661.84697
303	66612.78334
304	66559.34229
305	66510.61353
306	66454.81757
307	66422.10612
308	66389.51078
309	66342.95683
310	66307.13447
311	66268.01091
312	66225.56017
313	66181.27215
314	66142.65612
315	66120.01627
316	66065.40244
317	66029.76595
318	65966.57732
319	65935.86873
320	65899.76059
321	65854.40532
322	65820.81185
323	65777.24595
324	65749.7795
325	65717.84746
326	65684.46279
327	65627.53225
328	65575.36149
329	65547.76862
330	65510.14934
331	65481.24847
332	65441.53493
333	65411.79441
334	65380.81339
335	65343.25046
336	65313.36822
337	65271.74671
338	65243.61301
339	65193.8141
340	65142.18145
341	65106.94873
342	65059.15682
343	65036.27419
344	64999.94831
345	64965.76438
346	64932.4267
347	64860.23887
348	64832.16152
349	64811.11841
350	64782.53832
351	64753.70147
352	64723.00608
353	64704.28279
354	64684.66707
355	64654.89323
356	64618.4577
357	64592.43754
358	64554.20459
359	64523.5431
360	64492.75316
361	64478.09178
362	64442.56547
363	64401.10786
364	64367.37694
365	64345.97427
366	64296.53845
367	64275.24413
368	64258.85756
369	64242.25469
370	64183.46789
371	64137.47744
372	64097.73072
373	64064.42696
374	64038.20337
375	64006.41609
376	63976.55033
377	63949.81042
378	63912.9467
379	63872.08912
380	63849.68501
381	63786.90065
382	63766.17957
383	63732.34006
384	63708.63783
385	63669.30302
386	63655.11634
387	63622.98292
388	63579.2345
389	63551.51646
390	63514.99437
391	63493.20258
392	63465.99593
393	63439.46342
394	63405.72197
395	63381.61022
396	63342.48239
397	63301.92648
398	63276.44487
399	63258.12883
400	63234.67765
401	63217.13171
402	63191.01433
403	63153.62008
404	63108.29787
405	63081.56175
406	63064.37732
407	63039.59444
408	63017.18288
409	62985.38222
410	62944.18075
411	62917.00655
412	62894.86597
413	62874.90297
414	62856.55096
415	62823.9439
416	62800.41166
417	62763.78032
418	62730.9184
419	62713.28181
420	62675.35966
421	62639.73997
422	62599.66201
423	62572.76715
424	62516.88331
425	62473.04576
426	62422.75852
427	62401.25288
428	62378.64844
429	62355.48773
430	62317.53955
431	62280.31338
432	62235.72257
433	62208.20386
434	62164.81641
435	62137.78464
436	62119.737
437	62096.05714
438	62068.51131
439	62021.99224
440	61995.34435
441	61979.02209
442	61946.07515
443	61909.78885
444	61880.9459
445	61861.05268
446	61811.85138
447	61798.79382
448	61766.91621
449	61737.89244
450	61721.92861
451	61682.11538
452	61651.53527
453	61627.49094
454	61612.11788
455	61583.65862
456	61560.4242
457	61531.07602
458	61507.00803
459	61482.53839
460	61461.53528
461	61434.38758
462	61404.71672
463	61380.08968
464	61360.55742
465	61342.39413
466	61309.81948
467	61292.49565
468	61274.2089
469	61252.5223
470	61214.94196
471	61194.46404
472	61169.50738
473	61153.45191
474	61128.16947
475	61105.22928
476	61082.86374
477	61055.17888
478	61014.49067
479	60995.83823
480	60953.50202
481	60935.28912
482	60899.87114
483	60862.4659
484	60845.55272
485	60823.39471
486	60796.09167
487	60776.21033
488	60745.76181
489	60726.17409
490	60683.02335
491	60666.28393
492	60646.68136
493	60627.50497
494	60608.44335
495	60573.0224
496	60552.543
497	60510.07167
498	60481.92817
499	60448.60592
500	60413.25799
501	60381.1435
502	60358.60144
503	60335.45818
504	60306.09472
505	60274.0888
506	60243.33345
507	60213.96806
508	60190.46166
509	60163.4092
510	60146.82503
511	60123.35603
512	60067.62477
513	60044.09996
514	60022.77119
515	60007.64493
516	59968.85785
517	59935.58592
518	59912.07211
519	59902.67946
520	59873.75209
521	59843.69561
522	59819.3593
523	59795.34845
524	59757.39242
525	59718.91992
526	59680.8846
527	59665.99782
528	59617.35583
529	59596.91579
530	59561.15542
531	59545.00087
532	59519.16348
533	59497.90334
534	59473.02266
