iter	Passed	Remaining
0	173	337972
1	196	191764
2	218	141692
3	239	116513
4	262	102331
5	286	92834
6	308	85610
7	327	79570
8	349	75382
9	371	72069
10	396	69898
11	418	67585
12	439	65615
13	458	63472
14	479	61902
15	496	60106
16	516	58762
17	534	57469
18	553	56289
19	571	55222
20	589	54247
21	607	53332
22	625	52435
23	644	51777
24	662	51091
25	684	50694
26	702	50088
27	720	49525
28	740	49111
29	759	48647
30	779	48288
31	796	47764
32	815	47451
33	832	46977
34	851	46614
35	868	46201
36	886	45903
37	903	45514
38	919	45099
39	938	44870
40	956	44582
41	975	44372
42	993	44104
43	1010	43802
44	1026	43511
45	1043	43254
46	1062	43049
47	1078	42796
48	1097	42620
49	1114	42401
50	1132	42227
51	1151	42078
52	1167	41831
53	1185	41674
54	1204	41545
55	1222	41392
56	1243	41347
57	1261	41184
58	1280	41075
59	1298	40945
60	1317	40841
61	1337	40768
62	1358	40738
63	1378	40654
64	1395	40509
65	1414	40434
66	1435	40382
67	1457	40389
68	1477	40322
69	1496	40238
70	1514	40124
71	1531	39983
72	1546	39797
73	1566	39748
74	1585	39669
75	1603	39577
76	1621	39482
77	1639	39378
78	1655	39258
79	1672	39129
80	1689	39033
81	1707	38933
82	1726	38874
83	1745	38817
84	1763	38729
85	1783	38696
86	1801	38609
87	1821	38579
88	1839	38501
89	1857	38427
90	1875	38354
91	1895	38331
92	1914	38277
93	1933	38227
94	1951	38146
95	1969	38074
96	1983	37927
97	1999	37820
98	2015	37719
99	2033	37667
100	2054	37650
101	2072	37585
102	2091	37547
103	2110	37498
104	2128	37445
105	2147	37393
106	2164	37317
107	2182	37261
108	2198	37168
109	2215	37094
110	2233	37046
111	2251	36992
112	2270	36943
113	2285	36850
114	2305	36827
115	2324	36796
116	2344	36771
117	2360	36695
118	2379	36647
119	2396	36581
120	2413	36523
121	2431	36476
122	2448	36412
123	2465	36345
124	2484	36315
125	2501	36246
126	2517	36180
127	2533	36106
128	2551	36052
129	2569	36015
130	2590	36016
131	2608	35965
132	2625	35914
133	2643	35866
134	2661	35826
135	2680	35799
136	2697	35740
137	2714	35687
138	2730	35616
139	2747	35562
140	2765	35517
141	2780	35436
142	2798	35404
143	2817	35378
144	2834	35325
145	2852	35283
146	2869	35237
147	2886	35182
148	2904	35141
149	2922	35108
150	2939	35055
151	2956	35010
152	2972	34947
153	2989	34903
154	3007	34868
155	3024	34817
156	3040	34765
157	3057	34717
158	3075	34676
159	3090	34612
160	3108	34584
161	3125	34540
162	3143	34501
163	3158	34439
164	3177	34408
165	3193	34360
166	3211	34322
167	3227	34274
168	3245	34240
169	3262	34197
170	3279	34158
171	3298	34138
172	3316	34104
173	3335	34085
174	3354	34060
175	3371	34024
176	3391	34007
177	3409	33980
178	3426	33938
179	3444	33911
180	3461	33869
181	3478	33830
182	3496	33795
183	3515	33776
184	3533	33749
185	3550	33709
186	3569	33693
187	3584	33631
188	3601	33591
189	3618	33552
190	3634	33506
191	3652	33477
192	3667	33428
193	3683	33380
194	3701	33351
195	3719	33323
196	3735	33276
197	3753	33254
198	3770	33218
199	3788	33183
200	3807	33172
201	3825	33137
202	3839	33081
203	3857	33057
204	3873	33011
205	3891	32981
206	3910	32962
207	3928	32943
208	3942	32879
209	3959	32847
210	3974	32795
211	3990	32752
212	4009	32734
213	4024	32681
214	4041	32655
215	4060	32637
216	4079	32613
217	4094	32570
218	4113	32554
219	4130	32522
220	4149	32502
221	4168	32487
222	4185	32453
223	4203	32428
224	4222	32411
225	4239	32375
226	4257	32351
227	4276	32338
228	4293	32301
229	4310	32272
230	4329	32258
231	4346	32223
232	4364	32196
233	4382	32175
234	4398	32140
235	4417	32118
236	4435	32095
237	4454	32080
238	4469	32033
239	4487	32007
240	4502	31968
241	4518	31929
242	4536	31905
243	4554	31878
244	4571	31850
245	4587	31815
246	4604	31784
247	4622	31758
248	4640	31739
249	4658	31714
250	4677	31696
251	4694	31666
252	4712	31648
253	4731	31627
254	4749	31609
255	4763	31559
256	4780	31527
257	4796	31494
258	4816	31486
259	4834	31458
260	4850	31426
261	4867	31396
262	4886	31380
263	4903	31353
264	4920	31326
265	4937	31296
266	4955	31272
267	4972	31248
268	4992	31236
269	5007	31192
270	5026	31177
271	5043	31153
272	5061	31131
273	5081	31120
274	5101	31107
275	5118	31083
276	5137	31068
277	5155	31047
278	5174	31027
279	5192	31006
280	5208	30970
281	5226	30951
282	5243	30922
283	5261	30901
284	5280	30884
285	5296	30851
286	5316	30845
287	5334	30822
288	5354	30814
289	5372	30792
290	5391	30774
291	5410	30756
292	5423	30708
293	5440	30682
294	5458	30659
295	5475	30633
296	5493	30611
297	5511	30590
298	5529	30569
299	5547	30549
300	5562	30512
301	5582	30499
302	5601	30485
303	5618	30457
304	5634	30425
305	5653	30408
306	5669	30380
307	5686	30354
308	5704	30330
309	5721	30306
310	5738	30280
311	5757	30262
312	5774	30239
313	5792	30215
314	5810	30198
315	5828	30172
316	5846	30156
317	5865	30137
318	5882	30113
319	5899	30084
320	5916	30061
321	5934	30039
322	5951	30015
323	5967	29984
324	5985	29962
325	6001	29936
326	6021	29921
327	6039	29903
328	6057	29880
329	6074	29856
330	6088	29816
331	6107	29801
332	6123	29769
333	6140	29746
334	6155	29712
335	6172	29686
336	6190	29665
337	6206	29638
338	6223	29614
339	6241	29592
340	6258	29567
341	6275	29544
342	6291	29515
343	6310	29496
344	6327	29473
345	6345	29452
346	6361	29426
347	6378	29400
348	6396	29378
349	6412	29353
350	6431	29334
351	6446	29301
352	6465	29287
353	6477	29240
354	6494	29216
355	6509	29181
356	6526	29157
357	6542	29132
358	6561	29114
359	6579	29094
360	6597	29076
361	6615	29054
362	6631	29027
363	6649	29011
364	6666	28986
365	6683	28961
366	6702	28946
367	6719	28921
368	6734	28890
369	6753	28874
370	6771	28854
371	6788	28834
372	6806	28812
373	6823	28791
374	6841	28769
375	6855	28733
376	6869	28697
377	6885	28672
378	6901	28644
379	6918	28621
380	6935	28597
381	6953	28579
382	6969	28551
383	6988	28537
384	7006	28517
385	7021	28487
386	7039	28467
387	7056	28445
388	7073	28422
389	7092	28405
390	7111	28391
391	7128	28369
392	7144	28341
393	7161	28317
394	7177	28294
395	7196	28278
396	7213	28253
397	7229	28226
398	7246	28203
399	7263	28183
400	7279	28154
401	7295	28131
402	7310	28099
403	7327	28075
404	7343	28051
405	7359	28025
406	7376	28000
407	7393	27979
408	7410	27957
409	7426	27929
410	7442	27906
411	7459	27883
412	7476	27861
413	7493	27836
414	7510	27816
415	7526	27790
416	7543	27766
417	7561	27748
418	7577	27723
419	7593	27697
420	7610	27676
421	7628	27658
422	7643	27629
423	7658	27599
424	7674	27572
425	7691	27551
426	7708	27528
427	7724	27503
428	7741	27482
429	7757	27457
430	7773	27433
431	7790	27410
432	7806	27386
433	7823	27365
434	7841	27344
435	7857	27320
436	7870	27285
437	7888	27267
438	7904	27242
439	7921	27219
440	7939	27201
441	7956	27181
442	7973	27159
443	7989	27136
444	8005	27110
445	8023	27093
446	8040	27070
447	8057	27048
448	8072	27022
449	8085	26987
450	8101	26962
451	8118	26940
452	8135	26920
453	8151	26896
454	8168	26875
455	8185	26854
456	8201	26831
457	8219	26812
458	8235	26788
459	8253	26770
460	8270	26750
461	8288	26732
462	8305	26711
463	8323	26691
464	8339	26667
465	8357	26649
466	8372	26622
467	8388	26599
468	8405	26577
469	8423	26560
470	8440	26540
471	8457	26518
472	8474	26498
473	8491	26479
474	8507	26455
475	8524	26432
476	8536	26398
477	8554	26379
478	8572	26361
479	8588	26338
480	8604	26314
481	8620	26289
482	8636	26268
483	8651	26241
484	8667	26218
485	8684	26195
486	8700	26171
487	8716	26149
488	8734	26131
489	8750	26108
490	8766	26085
491	8781	26058
492	8797	26036
493	8816	26019
494	8832	25997
495	8849	25976
496	8865	25953
497	8881	25929
498	8897	25907
499	8914	25887
500	8932	25869
501	8951	25854
502	8968	25835
503	8984	25813
504	9002	25793
505	9018	25773
506	9035	25751
507	9051	25728
508	9066	25704
509	9082	25681
510	9098	25657
511	9115	25635
512	9131	25614
513	9147	25592
514	9164	25572
515	9180	25549
516	9196	25525
517	9212	25503
518	9227	25478
519	9244	25456
520	9259	25431
521	9275	25410
522	9292	25389
523	9310	25372
524	9327	25352
525	9345	25335
526	9360	25310
527	9378	25292
528	9394	25270
529	9411	25250
530	9430	25236
531	9451	25228
532	9474	25222
533	9491	25203
534	9509	25187
535	9526	25166
536	9543	25148
537	9560	25127
538	9577	25106
539	9595	25090
540	9609	25063
541	9626	25042
542	9641	25018
543	9659	24999
544	9677	24983
545	9695	24966
546	9713	24949
547	9729	24928
548	9745	24905
549	9761	24883
550	9778	24862
551	9794	24840
552	9810	24819
553	9826	24797
554	9842	24775
555	9859	24754
556	9876	24734
557	9891	24712
558	9909	24692
559	9925	24671
560	9940	24647
561	9957	24627
562	9973	24605
563	9988	24581
564	10006	24563
565	10021	24541
566	10040	24525
567	10057	24506
568	10075	24488
569	10091	24467
570	10107	24446
571	10124	24427
572	10140	24404
573	10159	24389
574	10174	24365
575	10189	24342
576	10206	24322
577	10222	24301
578	10239	24282
579	10254	24257
580	10272	24239
581	10288	24219
582	10305	24199
583	10321	24178
584	10339	24161
585	10358	24145
586	10374	24123
587	10391	24104
588	10406	24081
589	10421	24058
590	10438	24038
591	10455	24019
592	10471	23997
593	10488	23979
594	10508	23965
595	10524	23945
596	10541	23925
597	10559	23908
598	10575	23887
599	10592	23868
600	10609	23848
601	10624	23825
602	10640	23803
603	10655	23779
604	10674	23766
605	10692	23748
606	10709	23730
607	10725	23709
608	10740	23685
609	10757	23667
610	10775	23649
611	10796	23638
612	10815	23624
613	10834	23611
614	10855	23599
615	10870	23577
616	10889	23562
617	10908	23547
618	10927	23532
619	10947	23519
620	10967	23506
621	10987	23493
622	11006	23479
623	11025	23464
624	11045	23452
625	11065	23438
626	11082	23419
627	11102	23406
628	11122	23394
629	11142	23381
630	11161	23367
631	11181	23354
632	11201	23340
633	11219	23324
634	11238	23308
635	11257	23293
636	11276	23278
637	11291	23254
638	11310	23240
639	11330	23228
640	11348	23210
641	11367	23196
642	11386	23180
643	11404	23163
644	11423	23148
645	11444	23136
646	11462	23120
647	11484	23111
648	11506	23102
649	11527	23090
650	11549	23080
651	11570	23070
652	11591	23058
653	11612	23046
654	11631	23032
655	11649	23015
656	11665	22994
657	11683	22975
658	11700	22958
659	11716	22936
660	11732	22914
661	11750	22896
662	11766	22876
663	11784	22859
664	11800	22838
665	11817	22819
666	11835	22801
667	11849	22776
668	11867	22759
669	11885	22742
670	11904	22726
671	11923	22712
672	11940	22691
673	11958	22675
674	12001	22705
675	12032	22711
676	12055	22703
677	12075	22691
678	12094	22675
679	12108	22649
680	12125	22630
681	12142	22610
682	12158	22590
683	12176	22573
684	12193	22554
685	12210	22534
686	12227	22514
687	12244	22495
688	12261	22475
689	12282	22463
690	12302	22449
691	12319	22431
692	12333	22407
693	12349	22384
694	12367	22367
695	12384	22349
696	12402	22330
697	12419	22312
698	12436	22292
699	12454	22275
700	12472	22257
701	12488	22238
702	12506	22220
703	12525	22204
704	12542	22185
705	12559	22166
706	12577	22149
707	12596	22133
708	12611	22110
709	12630	22095
710	12648	22077
711	12667	22060
712	12685	22043
713	12701	22022
714	12719	22005
715	12737	21988
716	12756	21971
717	12775	21957
718	12794	21941
719	12813	21924
720	12832	21909
721	12852	21894
722	12871	21880
723	12889	21862
724	12908	21847
725	12917	21813
726	12937	21800
727	12954	21781
728	12977	21772
729	12996	21755
730	13014	21738
731	13033	21723
732	13052	21706
733	13069	21688
734	13084	21664
735	13101	21645
736	13120	21630
737	13136	21608
738	13153	21589
739	13170	21570
740	13187	21552
741	13205	21534
742	13221	21514
743	13238	21495
744	13256	21477
745	13274	21459
746	13292	21441
747	13309	21422
748	13326	21404
749	13345	21387
750	13361	21368
751	13379	21350
752	13398	21335
753	13418	21319
754	13434	21299
755	13451	21281
756	13469	21263
757	13489	21247
758	13505	21227
759	13522	21209
760	13541	21193
761	13558	21174
762	13576	21156
763	13593	21137
764	13610	21118
765	13630	21103
766	13648	21086
767	13666	21069
768	13682	21048
769	13698	21028
770	13717	21012
771	13736	20996
772	13753	20977
773	13773	20962
774	13790	20944
775	13807	20924
776	13823	20904
777	13841	20887
778	13859	20869
779	13877	20851
780	13895	20835
781	13913	20816
782	13930	20797
783	13945	20776
784	13963	20758
785	13980	20739
786	13998	20721
787	14015	20703
788	14033	20685
789	14050	20666
790	14069	20651
791	14086	20631
792	14104	20613
793	14123	20597
794	14140	20579
795	14158	20561
796	14173	20540
797	14190	20521
798	14207	20502
799	14227	20487
800	14244	20468
801	14261	20449
802	14279	20431
803	14298	20416
804	14315	20397
805	14333	20379
806	14350	20361
807	14368	20343
808	14385	20325
809	14403	20307
810	14421	20289
811	14439	20271
812	14456	20253
813	14474	20236
814	14491	20217
815	14508	20198
816	14526	20180
817	14543	20161
818	14562	20145
819	14578	20125
820	14596	20107
821	14612	20087
822	14629	20068
823	14647	20051
